,Balcony_Terrace,Elevator,area,num_rooms,postcode,kaltmiete
372,False,False,52.0,2.0,10551,560.0
373,False,False,58.0,2.0,10997,690.0
374,True,True,120.0,5.0,10827,1625.0
375,False,False,41.0,1.0,10247,900.0
376,False,False,45.0,2.0,10827,738.0
377,False,True,21.0,1.0,10179,633.0
378,True,False,43.0,2.0,13158,805.0
379,True,False,60.0,2.0,12161,540.0
380,True,True,52.0,2.0,10435,1150.0
381,True,True,117.0,3.0,12055,2500.0
382,True,False,57.0,2.0,10997,1100.0
383,True,False,85.0,2.0,10961,1690.0
384,False,True,24.0,1.0,10317,900.0
385,False,False,72.0,3.0,13359,950.0
386,True,False,62.0,2.0,13359,950.0
387,True,False,70.0,2.0,13355,1120.0
388,False,False,80.0,2.0,10243,800.0
389,True,False,63.0,2.0,10247,1200.0
390,True,False,65.0,2.0,10247,1090.0
391,True,True,129.0,3.0,10999,2350.0
392,False,False,25.0,2.0,10999,750.0
393,False,False,68.0,2.0,10119,910.0
394,True,False,60.0,2.0,12055,800.0
395,True,False,65.0,3.0,12163,890.0
396,True,False,75.0,2.0,10437,1200.0
397,False,False,42.0,2.0,12435,690.0
398,False,False,88.0,4.0,10119,1600.0
399,True,False,90.0,3.0,10715,850.0
400,True,False,108.0,3.0,10245,1590.0
401,False,False,48.0,2.0,10999,1125.0
402,False,False,116.0,4.0,10435,1800.0
403,True,False,56.0,2.0,13351,1090.0
404,False,False,29.0,2.0,10437,850.0
405,False,False,40.0,2.0,10965,900.0
406,False,False,50.0,2.0,10409,830.0
407,True,False,96.0,3.0,10245,1550.0
408,True,False,80.0,2.0,10245,800.0
409,False,False,50.0,1.0,10115,800.0
410,True,False,53.0,2.0,10777,600.0
411,True,False,55.0,1.0,10587,220.0
412,True,False,67.0,2.0,10247,1090.0
413,True,False,50.0,2.0,13055,880.0
414,True,True,58.0,2.0,10585,950.0
415,False,False,80.0,3.0,10115,2400.0
416,True,False,67.0,2.0,10247,591.0
417,False,True,135.0,3.0,12049,800.0
418,False,False,45.0,2.0,10711,885.0
419,True,False,55.0,2.0,15052,800.0
420,False,False,44.0,2.0,10409,800.0
421,True,True,30.0,1.0,14199,730.0
422,True,True,70.0,2.0,10405,1000.0
423,True,False,66.0,3.0,10439,1125.0
424,False,False,59.0,2.0,10559,700.0
425,True,False,50.0,2.0,13055,880.0
426,True,False,110.0,3.0,10249,1200.0
427,False,False,55.0,2.0,10243,1000.0
428,True,False,67.0,2.0,12435,400.0
429,True,True,64.0,2.0,12059,550.0
430,True,False,42.0,2.0,10435,980.0
